Snapshot,NO_1,NO_2,NO_3,NO_4,NO_5,FI,SE_1,SE_2,SE_3,SE_4,DK_2
2023-07-03 00:00:00,2321.1,3078.41,2317.08,1848.54,1322.12,6474.275,932.0,1129.0,6835.0,1851.0,1099.58
2023-07-03 01:00:00,2215.96,3047.17,2349.54,1823.21,1290.92,6388.925,981.0,1050.0,6599.0,1821.0,1064.85
2023-07-03 02:00:00,2118.29,2904.25,2360.37,1825.84,1274.45,6327.85,912.0,1027.0,6563.0,1715.0,1040.91
2023-07-03 03:00:00,2056.61,2855.35,2261.69,1772.61,1241.65,6309.475,796.0,1071.0,6462.0,1723.0,1045.92
2023-07-03 04:00:00,1993.93,2856.32,2219.03,1708.0,1230.66,6438.0,904.0,1083.0,6394.0,1707.0,1026.42
2023-07-03 05:00:00,2074.93,2865.78,2339.25,1791.53,1238.32,6951.9,991.0,1110.0,6639.0,1795.0,1059.05
2023-07-03 06:00:00,2311.41,3064.84,2442.43,1871.58,1390.94,7384.424999999999,1005.0,1302.0,7292.0,1996.0,1216.46
2023-07-03 07:00:00,2597.65,3195.64,2559.65,2009.57,1446.17,7717.475,977.0,1504.0,8102.0,2187.0,1385.58
2023-07-03 08:00:00,2742.98,3224.09,2570.93,2051.9,1437.34,7986.25,1047.0,1528.0,8407.0,2290.0,1466.35
2023-07-03 09:00:00,2794.98,3146.59,2655.6,2008.12,1498.62,8132.299999999999,1055.0,1503.0,8564.0,2228.0,1520.14
2023-07-03 10:00:00,2824.1,3462.67,2729.16,2032.63,1540.46,8305.85,1081.0,1394.0,8792.0,2281.0,1603.85
2023-07-03 11:00:00,2795.66,3428.67,2734.14,2055.18,1445.23,8322.425,1142.0,1380.0,8967.0,2337.0,1615.19
2023-07-03 12:00:00,2807.39,3540.46,2706.49,2072.24,1457.23,8317.875,1168.0,1475.0,8859.0,2303.0,1628.18
2023-07-03 13:00:00,2791.13,3553.65,2563.95,2099.97,1527.3,8248.0,1128.0,1438.0,8721.0,2355.0,1579.11
2023-07-03 14:00:00,2751.39,3557.46,2634.72,2018.21,1484.55,8146.3,1055.0,1476.0,8703.0,2354.0,1588.48
2023-07-03 15:00:00,2768.06,3662.82,2649.04,2027.11,1482.34,8057.275,1016.0,1501.0,8608.0,2344.0,1566.75
2023-07-03 16:00:00,2793.15,3585.48,2630.74,2044.0,1516.81,7987.1,986.0,1491.0,8523.0,2305.0,1534.14
2023-07-03 17:00:00,2781.86,3457.58,2636.54,2059.15,1493.15,7894.475,1028.0,1495.0,8565.0,2439.0,1584.77
2023-07-03 18:00:00,2743.27,3425.07,2589.38,2090.4,1543.49,7854.3,1108.0,1540.0,8552.0,2405.0,1538.5
2023-07-03 19:00:00,2662.94,3464.19,2575.3,2065.7,1495.32,7808.0,1156.0,1548.0,8351.0,2279.0,1464.67
2023-07-03 20:00:00,2618.47,3337.36,2545.99,1959.15,1459.37,7376.6,1149.0,1420.0,8148.0,2315.0,1387.24
2023-07-03 21:00:00,2555.89,3316.16,2547.66,1963.33,1452.26,7396.225,1184.0,1235.0,7871.0,2265.0,1305.79
2023-07-03 22:00:00,2523.24,3264.87,2502.36,1947.44,1469.73,7257.55,1036.0,1303.0,7612.0,2141.0,1240.92
2023-07-03 23:00:00,2428.94,3144.01,2458.84,1803.92,1444.57,6871.35,851.0,1218.0,7246.0,1925.0,1168.24
