Snapshot,NO_1,NO_2,NO_3,NO_4,NO_5,FI,SE_1,SE_2,SE_3,SE_4,DK_2
2023-01-02 00:00:00,4986.74,4595.19,3702.1,2515.47,2134.21,9393.8,1230.0,1950.0,9632.0,1885.0,1185.15
2023-01-02 01:00:00,4875.11,4693.16,3673.17,2535.84,2098.95,9195.4,1183.0,2202.0,9491.0,1907.0,1160.25
2023-01-02 02:00:00,4829.57,4543.46,3728.84,2521.89,2075.46,9233.8,1209.0,2078.0,9388.0,2002.0,1148.4
2023-01-02 03:00:00,4824.06,4503.01,3718.65,2417.24,2073.69,9306.1,1121.0,2117.0,9290.0,1967.0,1124.48
2023-01-02 04:00:00,4833.15,4497.53,3690.88,2442.87,2076.79,9568.3,1178.0,2315.0,9256.0,2035.0,1134.42
2023-01-02 05:00:00,4986.05,4542.97,3759.48,2473.44,2112.54,10235.0,1527.0,2080.0,9402.0,2258.0,1221.3
2023-01-02 06:00:00,5450.83,4787.93,3924.12,2591.13,2237.82,10710.0,1570.0,1890.0,10154.0,2549.0,1390.69
2023-01-02 07:00:00,5934.27,5105.16,4140.96,2745.46,2464.9,11039.0,1797.0,1891.0,11148.0,2772.0,1593.75
2023-01-02 08:00:00,6000.98,5028.3,4376.47,2656.43,2462.46,11101.0,1694.0,1994.0,11597.0,2841.0,1703.82
2023-01-02 09:00:00,6046.28,5032.6,4382.53,2728.83,2391.31,10923.0,1606.0,2241.0,11628.0,2873.0,1748.48
2023-01-02 10:00:00,6073.83,5090.11,4414.89,2721.22,2315.18,10617.0,1633.0,2291.0,11657.0,2853.0,1782.42
2023-01-02 11:00:00,6079.38,5167.66,4440.38,2641.08,2434.02,10837.0,1317.0,2462.0,11828.0,2808.0,1795.19
2023-01-02 12:00:00,6069.59,5162.64,4373.36,2596.61,2472.33,10847.0,1331.0,2776.0,11896.0,2851.0,1791.72
2023-01-02 13:00:00,6040.42,5137.59,4280.75,2697.08,2375.86,10872.0,1393.0,2722.0,11804.0,2908.0,1791.17
2023-01-02 14:00:00,6031.16,5239.4,4203.94,2602.37,2410.2,11022.0,1392.0,2761.0,11848.0,2904.0,1772.42
2023-01-02 15:00:00,6088.25,5239.17,4284.15,2570.97,2465.42,11115.0,1599.0,2743.0,11985.0,2851.0,1761.93
2023-01-02 16:00:00,6210.3,5162.28,4228.11,2591.85,2512.77,11194.0,1665.0,2722.0,12076.0,2793.0,1846.17
2023-01-02 17:00:00,6142.87,5043.22,4164.68,2624.77,2498.56,11115.0,1486.0,2775.0,12106.0,2827.0,1927.23
2023-01-02 18:00:00,6068.79,4992.46,4083.5,2671.27,2539.52,11085.0,1310.0,2823.0,11988.0,2785.0,1839.23
2023-01-02 19:00:00,5955.35,4945.12,4011.85,2727.01,2439.72,10896.0,1353.0,2552.0,11650.0,2545.0,1730.45
2023-01-02 20:00:00,5837.38,4886.2,4028.25,2744.78,2387.89,10654.0,1335.0,2503.0,11346.0,2406.0,1603.67
2023-01-02 21:00:00,5834.12,4796.86,4025.71,2725.57,2355.73,10742.0,1216.0,2594.0,10959.0,2215.0,1490.86
2023-01-02 22:00:00,5739.7,4604.66,3982.48,2723.41,2296.47,10594.0,1247.0,2383.0,10536.0,2159.0,1415.19
2023-01-02 23:00:00,5568.65,4552.56,3903.44,2653.55,2267.28,10209.0,1609.0,2137.0,10266.0,2240.0,1321.79
